序号,标题（Hook）,关键词,口播文案,封面思路,主题分类,优先级
1,99%的人把个人品牌搞反了，你呢？,"个人品牌,反常识,一人公司",Look, here's the thing. 你不是要""打造""个人品牌，你是要""成为""那个品牌。别先想着怎么涨粉，先想着你是谁。发布1.0版本，让市场教你。,深色背景，大字：""搞反了"",个人品牌,P0
2,这可能是你听过最反常识的内容创作建议,"内容创作,反常识,1.0",Listen. Content is just conversation in public. 完美是陷阱，发布1.0，然后迭代。没人在乎第一版好不好，只在乎你有没有开始。,极简风格，大字：""1.0 > Perfect"",内容创作,P0
3,关于一人公司，没人告诉你的残酷真相,"一人公司,创业,真相",Look. 一人公司不是公司，是生活方式。先降低成本结构，再谈扩张。别雇人，要杠杆。别扩大消耗，要扩大创意自由。,深色背景，大字：""真相"",一人公司,P0
4,做内容一年，我学到的3个反直觉教训,"内容创业,复利,教训",Let's talk. 第一年没人看是正常的。你不是在涨粉，是在练表达。100条是入场券，300条入门，1000条成。,3个数字的排版,内容创业,P1
5,焦虑不是你的敌人，是你的指南针,"焦虑,斯多葛,情绪管理",Listen. Anxiety is not a stop sign, it's a compass. 区分事实和感受。事实中立，解读可选。选能帮你的解读。,焦虑的艺术排版,自我成长,P1
6,你不需要动力，你需要清醒,"动力,习惯,身份改变",Look. Motivation is a myth. Clarity is everything. 不要""坚持习惯""，要""成为不同的人""。身份决定行为，行为决定结果。,大字：""Identity > Habits"",自我成长,P0
7,复利不是魔术，是耐心,"复利,一致性,长期",Look. 人人想要复利增长，直到遇到那个平坦期。前6-12个月就是应该感觉没结果，这是游戏规则。不要刨开种子看它长没长，浇水就行。,曲线图+种子图,商业/创业,P1
8,为什么""做自己""才是最厉害的差异化,"真实,个人品牌,差异化",Listen. Authenticity is the only differentiation that lasts. 别人抄你的风格，但抄不了你是谁。做你自己，因为别人都有人做了。,自己的剪影+独特配色,个人品牌,P1
9,斯多葛不是没情绪，是有选择,"斯多葛,情绪管理,心态",Let's clarify. Stoicism is not no feeling. It's feeling, then choosing. 你无法控制发生什么，但你可以控制它对你意味什么。,两个选项的对比,哲学/心态,P2
10,你不是在创业，是在创作你的生活,"生活方式,创业,设计生活",Look. Your business should fund your lifestyle, not eat it. 最小可行生活方式：低消耗，高输出。有钱有闲，创造价值。,生活的拼图,生活方式,P2
11,没人看你的内容怎么办？3个残酷真相,"内容创作,反馈,迭代",Listen. 100条没人看，你还是赢了。因为你现在比之前会表达了。这才是真正的奖励。市场没反应，不是内容差，是内容不够多。,数字100的艺术化,内容创作,P1
12,为什么你的目标总是完不成？因为你目标定错了,"目标设定,身份,系统",Look. 不要设定目标，要设定身份。不是""我要发内容""，是""我是创作者""。身份会拉着你走，目标会推着你走。拉比推更有效。,目标vs身份对比,自我成长,P0
13,把自己当产品，发布1.0版,"自我进化,迭代,产品思维",Think about it. 你不会等产品完美才发布，为什么等自己完美才开始？发布你现在的版本，收集反馈，迭代2.0。,产品发布界面风格,自我进化,P0
14,内容是你的简历，不是你的舞台,"内容创作,价值,定位",Let's get straight. Content is not about performing, it's about proving. 证明你懂，证明你能帮人，证明你值。发有价值的，不是好看的。,简历vs舞台对比,内容创作,P1
15,最小可行商业模式：创造价值，收钱,"商业模式,最小可行,价值交换",Look. Business simple: create value, get paid. 搞复杂了就是自找麻烦。先有1个客户，再谈规模化。,简单公式的排版,一人公司,P1
